restaurant_id,name,category,price_tier,neighborhood,opening_time,closing_time,average_rating,good_for_kids
151,Pizza Paradise,Thai,expensive,Bedford-Stuyvesant,7:27 AM,12:33 PM,3.3,false
152,The Noodle Bar,Indian,medium,Park Slope,8:58 AM,4:18 PM,3.3,true
153,The American Diner,Spanish,cheap,Jackson Heights,6:59 AM,11:15 PM,4.3,true
154,The Malaysian Hawker Stall,Spanish,expensive,Hell's Kitchen,11:59 AM,3:07 PM,4.3,false
155,The Vietnamese Pho,Mediterranean,cheap,Chelsea,10:51 AM,8:56 PM,1.5,true
156,The Vietnamese Pho,Thai,medium,Jackson Heights,11:48 AM,6:51 PM,2.7,true
157,The Noodle Bar,Vietnamese,cheap,Long Island City,8:23 AM,4:15 PM,4.3,true
158,The French Bistro,Italian,cheap,Greenwich Village,9:26 AM,1:03 PM,3.9,true
159,The Ethiopian Injera,Vietnamese,medium,Harlem,9:50 AM,12:12 PM,4.5,false
160,Bella Italia,Vietnamese,medium,Harlem,11:10 AM,6:56 PM,1.0,false
161,The Soup Kitchen,Japanese,medium,Long Island City,10:40 AM,6:18 PM,2.4,false
162,The Waffle House,French,cheap,Long Island City,10:36 AM,9:45 PM,1.5,true
163,The Waffle House,Korean,expensive,Park Slope,10:49 AM,9:46 PM,1.8,false
164,The Indonesian Satay House,Vietnamese,medium,Upper East Side,9:30 AM,2:26 PM,1.3,true
165,The Spice Route,American,expensive,Lower East Side,9:05 AM,10:19 AM,2.1,true
166,The Salad Bar,Brazilian,expensive,Park Slope,9:22 AM,11:13 PM,0.1,false
167,The Korean BBQ,Indian,expensive,Lower East Side,11:22 AM,12:15 PM,0.3,false
168,The Spice Route,Japanese,cheap,Upper East Side,8:50 AM,1:18 PM,0.6,false
169,Cafe Delight,French,medium,Astoria,10:58 AM,10:31 PM,3.4,false
170,Sushi House,Italian,cheap,Upper East Side,7:03 AM,11:38 PM,1.2,true
171,The French Bistro,American,expensive,Bedford-Stuyvesant,8:39 AM,9:22 PM,2.3,true
172,The Swiss Chocolate Factory,Brazilian,cheap,Upper East Side,10:19 AM,1:48 PM,0.6,false
173,The American Diner,Thai,medium,Greenwich Village,7:56 AM,4:07 PM,4.6,false
174,The Steakhouse,Chinese,cheap,Williamsburg,6:30 AM,11:14 PM,0.6,true
175,The Noodle Bar,Thai,cheap,Long Island City,9:35 AM,2:17 PM,2.0,false
176,The Pancake Palace,French,expensive,Chelsea,10:42 AM,9:45 PM,0.8,true
177,The Australian Outback,Turkish,medium,Bedford-Stuyvesant,9:42 AM,10:50 PM,1.6,true
178,The Belgian Waffle Cart,Brazilian,cheap,Bushwick,6:00 AM,9:42 PM,3.7,false
179,The Canadian Maple,Brazilian,medium,Greenwich Village,10:46 AM,11:07 AM,0.6,false
180,Taco Fiesta,American,medium,Long Island City,11:58 AM,5:29 PM,5.0,false
181,The Mediterranean Grill,Thai,expensive,Bedford-Stuyvesant,6:49 AM,7:09 PM,4.3,false
182,The Salad Bar,Japanese,expensive,Park Slope,11:10 AM,10:15 PM,4.4,true
183,The Spice Route,Japanese,expensive,Long Island City,7:05 AM,6:48 PM,3.9,true
184,The French Bistro,Italian,cheap,Hell's Kitchen,8:21 AM,10:10 AM,1.5,true
185,The Thai Orchid,Thai,expensive,Long Island City,11:33 AM,9:18 PM,4.7,true
186,Cafe Delight,Spanish,cheap,Harlem,11:01 AM,9:17 PM,4.9,false
187,The Steakhouse,Chinese,expensive,Williamsburg,6:24 AM,11:51 AM,3.7,true
188,The Salad Bar,Thai,cheap,Bushwick,7:16 AM,4:42 PM,2.2,false
189,The Indian Curry House,Indian,expensive,Chelsea,9:03 AM,11:26 AM,3.4,false
190,The Burger Joint,Italian,cheap,Upper East Side,10:31 AM,11:18 AM,0.4,false
191,Bella Italia,French,medium,Murray Hill,8:29 AM,5:15 PM,1.9,true
192,The Thai Orchid,Spanish,medium,Bedford-Stuyvesant,6:31 AM,10:21 AM,1.2,false
193,The Korean BBQ,Italian,expensive,Bushwick,9:32 AM,2:07 PM,2.3,true
194,The Swiss Chocolate Factory,Japanese,cheap,Hell's Kitchen,7:04 AM,12:07 PM,3.4,true
195,The Steakhouse,Turkish,expensive,Jackson Heights,11:46 AM,11:21 AM,3.4,true
196,The Pancake Palace,Korean,cheap,Upper East Side,11:06 AM,2:34 PM,0.2,true
197,The Greek Taverna,Brazilian,cheap,Astoria,8:24 AM,12:19 PM,4.0,false
198,The Malaysian Hawker Stall,Mediterranean,cheap,Bushwick,6:12 AM,9:21 PM,0.0,true
199,The Indian Curry House,Greek,medium,Williamsburg,7:39 AM,10:20 PM,3.9,true
200,Bella Italia,Indian,expensive,Hell's Kitchen,6:36 AM,2:37 PM,2.1,false
201,The Australian Outback,Thai,expensive,Jackson Heights,7:55 AM,8:26 PM,0.3,false
202,The Turkish Kebab,Chinese,cheap,Chelsea,8:12 AM,7:02 PM,0.8,false
203,The Hungry Panda,Greek,cheap,Harlem,11:02 AM,7:46 PM,4.2,false
204,The Turkish Kebab,Thai,medium,Lower East Side,9:43 AM,7:46 PM,4.4,true
205,Cafe Delight,Thai,medium,Chelsea,8:51 AM,4:35 PM,3.1,false
206,The Sandwich Shop,Spanish,expensive,Astoria,6:03 AM,3:02 PM,4.4,true
207,The Thai Orchid,Mexican,expensive,Long Island City,7:48 AM,6:25 PM,1.3,true
208,The Egyptian Falafel,Japanese,cheap,Greenwich Village,6:48 AM,7:19 PM,3.5,true
209,The Malaysian Hawker Stall,Vietnamese,cheap,Chelsea,6:13 AM,11:37 PM,0.6,true
210,The Swiss Chocolate Factory,Japanese,expensive,Astoria,7:30 AM,3:04 PM,3.9,false
211,The Korean BBQ,Thai,medium,Jackson Heights,8:22 AM,10:34 PM,4.5,false
212,The Seafood Shack,Spanish,cheap,Bushwick,8:17 AM,1:38 PM,1.6,true
213,The Steakhouse,Mediterranean,cheap,Williamsburg,8:27 AM,2:23 PM,4.0,true
214,The Veggie Patch,Thai,expensive,Harlem,11:37 AM,11:57 PM,4.3,false
215,The Sandwich Shop,Italian,cheap,Murray Hill,9:07 AM,11:40 PM,4.5,true
216,Taco Fiesta,Korean,expensive,Park Slope,6:04 AM,10:48 AM,2.0,false
217,The Burger Joint,Spanish,medium,Upper East Side,10:39 AM,11:30 AM,3.2,true
218,The Greek Taverna,Turkish,medium,Long Island City,9:08 AM,9:36 PM,0.2,true
219,The Steakhouse,Brazilian,expensive,Murray Hill,8:12 AM,1:19 PM,4.4,true
220,The Pancake Palace,Mexican,cheap,Upper East Side,11:46 AM,9:31 PM,3.5,true
221,The Japanese Teppanyaki,Brazilian,expensive,Bushwick,9:28 AM,7:59 PM,2.0,false
222,Bella Italia,Spanish,cheap,Upper East Side,11:39 AM,9:15 PM,0.4,false
223,Sushi House,Spanish,medium,Bushwick,10:16 AM,4:56 PM,2.5,false
224,The Vietnamese Pho,Thai,cheap,Greenwich Village,9:53 AM,8:14 PM,1.7,false
225,The Japanese Teppanyaki,Thai,medium,Astoria,11:42 AM,11:00 AM,2.5,true
226,Bella Italia,Brazilian,expensive,Bushwick,8:59 AM,6:55 PM,1.7,false
227,The German Beer Hall,Spanish,medium,Harlem,11:06 AM,9:10 PM,4.1,true
228,The Egyptian Falafel,Turkish,medium,Chelsea,9:06 AM,10:43 AM,2.5,true
229,The Pasta Place,Greek,medium,Harlem,7:45 AM,8:11 PM,0.6,false
230,The Noodle Bar,Greek,expensive,Harlem,10:24 AM,6:36 PM,2.4,true
231,The Pasta Place,Korean,medium,Murray Hill,8:17 AM,4:42 PM,0.2,true
232,Pizza Paradise,Japanese,expensive,Murray Hill,7:33 AM,2:19 PM,2.5,true
233,Pizza Paradise,Mexican,medium,Astoria,9:17 AM,7:50 PM,2.0,true
234,The Malaysian Hawker Stall,Turkish,expensive,Williamsburg,6:54 AM,8:25 PM,4.6,false
235,The American Diner,Brazilian,cheap,Harlem,7:15 AM,4:34 PM,2.2,false
236,The Malaysian Hawker Stall,Greek,medium,Murray Hill,10:11 AM,3:18 PM,3.5,false
237,The Sandwich Shop,Mediterranean,expensive,Chelsea,6:56 AM,10:00 AM,1.3,true
238,The American Diner,Vietnamese,medium,Bushwick,9:14 AM,1:43 PM,3.7,true
239,The Brazilian Churrascaria,Indian,expensive,Park Slope,6:18 AM,10:37 AM,0.4,true
240,The Korean BBQ,Vietnamese,cheap,Williamsburg,7:11 AM,12:20 PM,2.4,false
241,The Italian Gelateria,Spanish,cheap,Williamsburg,6:43 AM,8:14 PM,0.2,true
242,The Japanese Teppanyaki,Chinese,expensive,Astoria,8:04 AM,2:21 PM,1.0,true
243,The Dutch Pancake House,Korean,expensive,Murray Hill,10:16 AM,6:22 PM,4.1,false
244,The Japanese Teppanyaki,Vietnamese,medium,Park Slope,10:26 AM,11:56 PM,2.8,true
245,The Indonesian Satay House,Japanese,cheap,Upper East Side,9:03 AM,11:58 AM,3.2,false
246,The Steakhouse,Korean,cheap,Bedford-Stuyvesant,10:24 AM,11:58 AM,4.9,false
247,Pizza Paradise,Mediterranean,cheap,Astoria,8:55 AM,9:36 PM,3.7,false
248,The Veggie Patch,Chinese,cheap,Murray Hill,6:40 AM,10:25 AM,0.9,true
249,The Belgian Waffle Cart,Greek,medium,Murray Hill,7:04 AM,9:04 PM,0.7,false
250,The Thai Orchid,Italian,expensive,Chelsea,8:56 AM,1:32 PM,4.9,false
251,The Indian Curry House,Spanish,medium,Bedford-Stuyvesant,6:41 AM,10:29 PM,1.9,false
252,The Greek Taverna,Vietnamese,cheap,Long Island City,7:30 AM,10:59 PM,3.7,true
253,The Japanese Teppanyaki,Greek,medium,Chelsea,10:47 AM,10:27 PM,0.9,false
254,The Burger Joint,Turkish,expensive,Hell's Kitchen,11:08 AM,5:25 PM,0.8,false
255,The Thai Orchid,Brazilian,expensive,Greenwich Village,9:38 AM,10:50 PM,1.0,true
256,The Burger Joint,Thai,medium,Jackson Heights,8:58 AM,6:32 PM,2.1,true
257,The Soup Kitchen,Mediterranean,cheap,Williamsburg,6:21 AM,12:34 PM,0.5,false
258,The Korean BBQ,Turkish,cheap,Park Slope,11:39 AM,3:01 PM,4.9,true
259,The Soup Kitchen,Turkish,cheap,Bedford-Stuyvesant,7:23 AM,12:52 PM,1.0,true
260,The Pasta Place,Brazilian,expensive,Hell's Kitchen,11:41 AM,10:08 AM,4.9,false
261,The Mediterranean Grill,Vietnamese,expensive,Chelsea,7:40 AM,4:27 PM,2.2,true
262,The Seafood Shack,Spanish,cheap,Greenwich Village,8:50 AM,8:47 PM,4.0,false
263,The Canadian Maple,Brazilian,cheap,Astoria,8:45 AM,10:44 PM,4.8,false
264,The Swiss Chocolate Factory,Indian,medium,Harlem,10:50 AM,8:05 PM,2.8,false
265,The German Beer Hall,Indian,cheap,Jackson Heights,8:01 AM,8:36 PM,3.9,true
266,The Burger Joint,Japanese,medium,Long Island City,8:04 AM,8:12 PM,0.6,true
267,The Waffle House,Greek,medium,Greenwich Village,6:57 AM,2:34 PM,4.5,true
268,The Irish Pub,Thai,expensive,Harlem,11:32 AM,11:07 AM,1.9,false
269,The Dutch Pancake House,French,cheap,Astoria,10:05 AM,5:05 PM,2.6,true
270,The Italian Gelateria,Turkish,expensive,Long Island City,7:15 AM,10:56 AM,2.4,true
271,The Swiss Chocolate Factory,Spanish,cheap,Harlem,10:15 AM,2:36 PM,1.2,true
272,The BBQ Pit,Spanish,medium,Williamsburg,9:53 AM,10:15 AM,4.8,true
273,The Pasta Place,Chinese,cheap,Hell's Kitchen,7:35 AM,9:59 PM,3.4,false
274,The Egyptian Falafel,Spanish,expensive,Greenwich Village,9:48 AM,5:15 PM,4.3,true
275,The Indian Curry House,Italian,expensive,Lower East Side,7:59 AM,10:09 PM,0.3,true
276,The Hungry Panda,Vietnamese,cheap,Jackson Heights,8:29 AM,6:26 PM,4.0,true
277,The Australian Outback,Italian,cheap,Park Slope,10:00 AM,1:56 PM,3.2,false
278,Pizza Paradise,Mexican,expensive,Jackson Heights,7:48 AM,6:59 PM,2.8,false
279,The Irish Pub,American,expensive,Jackson Heights,11:52 AM,2:33 PM,0.2,false
280,Taco Fiesta,Italian,cheap,Bushwick,10:39 AM,2:55 PM,2.5,true
281,Sushi House,Turkish,medium,Hell's Kitchen,11:15 AM,9:18 PM,0.9,false
282,The Malaysian Hawker Stall,Japanese,cheap,Jackson Heights,11:43 AM,11:31 PM,4.3,false
283,The Swiss Chocolate Factory,Brazilian,medium,Hell's Kitchen,6:47 AM,5:31 PM,4.1,true
284,Taco Fiesta,Greek,cheap,Long Island City,11:50 AM,5:09 PM,3.6,true
285,The Sandwich Shop,Greek,medium,Jackson Heights,9:04 AM,1:46 PM,1.1,false
286,The Peruvian Ceviche,Brazilian,expensive,Astoria,10:33 AM,4:31 PM,3.7,false
287,The Pasta Place,Chinese,expensive,Chelsea,9:56 AM,10:29 PM,0.2,true
288,The Indonesian Satay House,Italian,expensive,Chelsea,9:27 AM,1:10 PM,0.1,true
289,The Mediterranean Grill,Turkish,medium,Greenwich Village,11:27 AM,12:01 PM,5.0,true
290,The Peruvian Ceviche,Indian,cheap,Bushwick,9:03 AM,4:30 PM,2.5,false
291,The Pasta Place,Mediterranean,medium,Astoria,7:51 AM,8:16 PM,0.1,true
292,The Egyptian Falafel,Spanish,expensive,Astoria,11:47 AM,4:39 PM,1.8,true
293,The Spanish Tapas Bar,Spanish,medium,Lower East Side,6:00 AM,11:49 AM,2.5,false
294,The Vietnamese Pho,Spanish,expensive,Long Island City,7:37 AM,6:44 PM,0.8,true
295,The Sandwich Shop,French,cheap,Murray Hill,10:47 AM,6:25 PM,1.0,false
